title	plot	Action	Adult	Adventure	Animation	Biography	Comedy	Crime	Documentary	Drama	Family	Fantasy	Game-Show	History	Horror	Music	Musical	Mystery	News	Reality-TV	Romance	Sci-Fi	Short	Sport	Talk-Show	Thriller	War	Western	plot_lang
"""20/20"" (1978) {Mystery in the Maternity Room (#39.12)}"	 20/20 goes to St. Louis to examine how mother Zella Jackson Price was reunited with her long lost daughter Diane Gilmore. It also investigates the baby stealing ring that may have been behind the loss of her daughter and also the children of other women.	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""2015 FIFA Women's World Cup"" (2015) {United States vs. Sweden (#1.24)}"	 Highlights of Australia vs. Nigeria, a feature on Sweden manager Pia Sundhage, Tina Daheley talks to Eni Aluko and reports on England's final preparations before their second match, and live coverage of the Group D match between United States and Sweden.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	en
"""21 Jump Street"" (1987) {Pilot (#1.1)}"	 Two young, black criminals break into the house of a middle class family. They threaten to kill the son, Kenny, who they say owes them 6.000 dollars. They steal the Jaguar outside and go away. When the police arrive, Kenny refuses to give any information about the intruders. One of the policemen is 21 year old Tom Hanson, who has just graduated from the Police Academy as the top of his class. His first days at work aren't successful. Tom looks too juvenile to bring about respect, and his impulsivity causes trouble for his colleagues. He is relocated to a special unit called Jump Street Chapel. This is an undercover unit, focused on serious crimes among teenagers. The looks of his new colleagues shock him. The police officers Doug Penhall, Harry Truman Ioki and Judy Hoffs look, behave and talk like teenagers, and their chief, Captain Richard Jenko, looks like an old hippie. Tom has to undergo the same transformation. He is given the false identity of Tom Bauer, and sent to Amherst High, where also the two black criminals and Kenny are students. Now he has the chance to solve the case, with which he got nowhere as an ordinary policeman.	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	en
"""24"" (2001) {1:00 a.m.-2:00 a.m. (#1.2)}"	 On the day of the California Presidential Primary, between 1:00 AM and 2:00 AM, Richard Walsh meets his inside informer Scott Baylor in the Dunlop Plaza, who delivers a key card with data of the CTU conspirator. However, they are ambushed, there is a shoot-out, Scott is killed and Walsh calls Jack Bauer to come to help him. In Mojave Desert, Mandy hides the ID of David Palmer's photographer in the sand with a beacon and is rescued by her contractor; later her partner picks the ID up in a motorcycle. Meanwhile, Kim and her friend Janet are abducted while Teri and Alan seek their daughters. Jack helps Walsh, who gives the key card to him after being shot, dying soon after. Jack is very surprised with the identity of the rogue of his agency. David Palmer contacts a friend and sneaks out from his suite. CTU discovers that an airplane went down the Mojave Desert. Unbenowist to them, it was carrying the person who was supposed to snap Palmer's picture at a breakfast meeting. An assassin named Many emerges with the man's wallet, and hides a transponder in the desert spot where she lands after she made the jump. A girl named Brigette picks it up. Mandy is revealed to be working for a man named Ira Gaines. One of Ira's men has plastic surgery to resemble the photographer. Mandy wants to lay low for a while, seeing she completed what she was assigned to do. Meanwhile, Kimberly and her best friend Janet have been kidnapped by two men in which a local party the girls were attending turned out to be a rouse. With the help of Alan York, a worried Teri searches for her daughter. Meanwhile, Walsh has a meeting with his source who gives him a key card. Jack is called in when Walsh is ambushed. Jack and Walsh both take out two men, but a third shoots Walsh as he hands Jack the key card. They key card is the only hint in Palmer's assassination attempt...	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	en
"""24"" (2001) {Day 4: 6:00 p.m.-7:00 p.m. (#4.12)}"	 Jack and Paul Raines visit the corporate headquarters of McLennan-Forster, the defense contractor that employed Marwan. The company executives activate an EMP bomb to destroy incriminating evidence in order to protect themselves. Tony is given temporary command of CTU after Driscoll resigns following her daughter's suicide.	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	en
"""240-Robert"" (1979)"	 240-ROBERT followed the exploits of the Los Angeles County Sheriff's Department Emergency Services Detail. Utilizing helicopters, boats and a customized Ford Bronco, the team managed to extract hapless citizens from various dangerous situations. The series was based on the real life 240 unit of the Sheriff's Department.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
"""2900 Happiness"" (2007) {(#3.5)}"	 Mercedes has made ready for departure. She'll home to her mother in Sicily, after the school burnt down, although both Jan Erik, his friends and wooer Michael von Stjerne begs and begs her to stay. But no, Mercedes and Doggy want to go home! Jan Erik has one last desperate shot in the gun back. Simon is excited about his radio project at the port, but lacks money to deposit in order to realize his dream. Hanne has apparently allowed herself to be seduced by Mayor Hans Holm. Anyway she thanks yes to an exciting offer over the phone.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
"""2point4 Children"" (1991) {The Lady Vanishes (#6.2)}"	 On Hallowe'en Bill dismisses the supernatural as ignorant suspicion. However,when a foreign-accented gentleman delivers what appears to be a coffin to Mrs Curdaal from next door,she has second thoughts,particularly when a bat flies into the bathroom and,after seeing a sinister figure at Mrs Curdaal's house she realizes the name is an anagram of Dracula. Furthermore the lady is not answering her phone. The Porters and Rona take appropriate action using garlic and a huge crucifix,only to find there is a rational explanation for their fears - or is there?	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
"""30 Days of Night: Blood Trails"" (2007)"	" ""30 DAYS OF NIGHT: BLOOD TRAILS"" is based on the New Orleans storyline from the original graphic novel by Steve Niles ""30 DAYS OF NIGHT."" BLOOD TRAILS follows George, a young addict who makes a living seeking covert information for Judith, the weary but wise New Orleans vampire hunter. Ready for change, George plans to score one final job so he can leave town, but finds the road to salvation quickly crumbling when his contacts start turning up dead. Now George must dodge vampires while navigating the harsh underbelly of New Orleans to get his last payday and make it out alive."	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	en
"""30 Rock"" (2006) {Stone Mountain (#4.3)}"	" Liz and Jack venture down south to Kenneth's hometown to discover new talent. Jenna tries to make friends with the writers to solidify her place at ""TGS"" before the new cast member is hired. Meanwhile, Tracy fears for his life when two celebrities die and he believes he's the next to bite the dust."	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
"""30 for 30 Shorts"" (2012) {The Great Imposter (#1.16)}"	 From 1979 to 1986, Barry Bremen, a Detroit-area novelty goods salesman, became known in the sports world as The Great Imposter. Playfully seeking the spotlight, Bremen posed as a player in the Major Leagues and NBA, PGA golfer, NFL and NHL referee, and even Dallas Cowboys cheerleader. In doing so Bremen not only became known as sports ultimate fan but also managed to live out the dreams of legions of failed high school all-stars and armchair quarterbacks across the nation.	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	en
"""30 for 30"" (2009) {The Band That Wouldn't Die (#1.2)}"	 This episode tells the story of the overnight relocation of the Baltimore Colts to the city of Indianapolis. We explore the reactions of the fans, the various actions and interviews with the teams owner and finally how the band kept the spirit of a professional football team alive until the arrival of the Baltimore Ravens in 1996.	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	en
"""3rd Rock from the Sun"" (1996) {36! 24! 36! Dick!: Part 1 (#3.14)}"	 The guys of Rutherford have the time of their life when the town all of the sudden gets swamped with the most beautiful women. And the best part about it is, they actually seem to be interested in the men and in no time Dick, Harry, Tommy and Officer Don have beautiful girlfriends. Except for Harry who gives his girl Mascha lollies, they give their girlfriends terribly expensive gifts they can't afford. Sally doesn't trust what's going on and decides to find out who these women are and what it is they want.	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	en
"""3rd Rock from the Sun"" (1996) {I Brake for Dick (#2.18)}"	 Dick has run over a chipmunk and is very shocked by this. He starts being a vegetarian, orders the Solomons not to use anything that's made of animals and throw the things that are made of animals away. Meanwhile, Harry wants to be a boy scout and Tommy has trouble with August. He didn't ask her for Spring Dance and now she's mad with him. He considers writing to an advice columnist.	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	en
"""4 O'Clock Club"" (2012) {Assembly (#1.2)}"	 Josh tries to get Nathan off his back by tricking him into believing Miss Poppy is interested in him. Meanwhile Mr Byron is determined that the forthcoming assembly performance doesn't go badly wrong like so many others but Ryan's problems in remembering a simple line suggest things may not go well again.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
"""42 Seconds of Happiness"" (2012) {Marc and Alis Part III (#1.23)}"	 'Why did you get married?' 'Because I was alone.' 'What happened?' 'I grew up.' After her scary interview by the court psychologist, Alis meets don't-you just-wish-for-a-delete-button-on-your-pa­st-Marc. Is she alone again? And what does it mean, being alone?	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
"""48 Hours"" (1988) {The Doctor's Daughter (#29.4)}"	 48 Hours goes to Syracuse, New York, to examine the death of Leslie Neulander. Initially her death is ruled accidental, but forensic specialists argue that she did not die as the result of a slip in the shower. Ultimately Leslie's husband Robert a respected doctor is found to be guilty of the murder despite the testimony of his daughter.	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes II"" (1999) {Nerd of the Amazon/The Case Against Jake Beard/Classic: 1-800-CON MAN (#1.4)}"	" ""Nerd of the Amazon"" profiles Jeff Bezos the founder of Amazon. ""The Case Against Jake Beard"" offer evidence that the man accused of a double murder may not be the person who is responsible for it. ""Classic: 1-800-CON MAN"" revisits a 1991 segment on a con man who set up a business while in jail using only the telephone. ""Uncommon Sense"" looks at corporate mergers."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes Sports"" (2013) {The Settlement/Z/Bobby Mitchell (#3.1)}"	" ""The Settlement"" looks at the injury settlement between the NFL and the player's union and whether it adequately address brain injury. ""Z"" profiles Boston Bruins Defenseman Zdeno Chára who is considered by some to be the scariest player in hockey. ""From the Press Box"" discusses Bill Belichick. ""Bobby Mitchell"" profiles the former NFL player who helped breakdown racial barriers in the league. ""GoPro Moment"" follows snowboarder Travis Rice."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	en
"""60 Minutes"" (1968) {Al Hurra/Life Saver/Fish Fuss (#40.39)}"	" ""Al Hurra"" examines the American taxpayer supported television channel in the Middle East. ""Life Saver"" rebroadcasts a segment on how Plumpynut is being used around the world to cure malnutrition. ""Fish Fuss"" rebroadcasts a segment on how dams are hurting salmon populations in the Pacific Northwest. ""Andy Rooney"" talks about fruit."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes"" (1968) {Blackwater 61/Fight for a Cure/Cameron's Avatar (#42.39)}"	" ""Blackwater 61"" rebroadcasts an investigation into the crash of an airline run by a U.S. military contractor. ""Fight for a Cure"" rebroadcasts a segment on David Axelrod and his family's fight against epilepsy. ""Cameron's Avatar"" rebroadcasts a segment on the science fiction movie. ""Andy Rooney"" responds to viewer mail about his comments on the post office."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes"" (1968) {Curve Ball/The Ivory War/Captain of Capitalism (#40.7)}"	" ""Curve Ball"" investigators the Iraqi defector who fabricated a story about WMDs that helped drive the U.S. into war in the Middle East. ""The Ivory War"" investigates elephant poaching in Africa. ""Captain of Capitalism"" profiles venture capitalist Tom Perkins. ""Andy Rooney"" talks about not wanting to be a politician."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes"" (1968) {Ending America's Longest War/Coming Home/A Forgotten Corner of Hell (#47.36)}"	" ""Ending America's Longest War"" rebroadcasts an interview with U.S. General John Campbell and Afghan President Ashraf Ghani. ""Coming Home"" rebroadcasts a segment on veterans of a Marine company that took especially high casualties in Afghanistan. ""Forgotten Corner of Hell"" rebroadcasts a segment on a team searching for the remains of World War II airmen."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes"" (1968) {Harry Potter/Need Cash?/Adopt Me (#32.43)}"	" ""Harry Potter"" rebroadcasts a profile of J.K. Rowling author of the popular fantasy book series. ""Need Cash?"" rebroadcasts a look at how some automobile title lenders have been charging exorbitant interest rates. ""Adopt Me"" rebroadcasts a look at adoption parties for special needs children. ""Andy Rooney"" talks about the ten best unimportant inventions."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes"" (1968) {John Kerry/Farewell to the Queen/Doing Business with the Enemy (#36.17)}"	" ""John Kerry"" profiles and interviews the Democratic presidential candidate. ""Farewell to the Queen"" goes on board the Queen Elizabeth 2 for its historic last trans-Atlantic cross. ""Doing Business with the Enemy"" examines how pension plans and mutual funds are investing in companies that do business with states that support terrorism. ""Andy Rooney"" talks about Bush's plans for space."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes"" (1968) {My FBI/The Dinner Set Gang/NASCAR Family (#38.3)}"	" ""My FBI"" interviews a former FBI director about his relationship with Bill Clinton. ""The Dinner Set Gang"" looks at how two jewel thieves stole millions from the wealthy. ""NASCAR Family"" looks at the France family who own and operate NASCAR. ""Andy Rooney"" talks about going wireless."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes"" (1968) {President Obama/Chairman Ma (#47.2)}"	" ""President Obama"" interviews the president about domestic and foreign and issues including the bombing he has ordered against the terrorists of ISIS. ""Chairman Ma"" profiles the executive director of the Chinese company Alibaba which is now valued at $231 billion."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes"" (1968) {Shooting at Chardon High/The Con Man/Liam Neeson (#46.22)}"	" ""Shooting at Chardon High"" interviews an assistant football coach who stopped a gunman at a high school. ""The Con Man"" interview famous art forger Wolfgang Beltracchi. ""Liam Neeson"" interviews the actor about his wife's untimely death and his future in movies."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes"" (1968) {The Bicycle Thief/Gross National Happiness/Whose Country Is It? (#32.49)}"	" ""The Bicycle Thief"" rebroadcasts an examination of California's three strikes law. ""Gross National Happiness"" rebroadcasts a segment on the country of Bhutan which focuses more on happiness than economic growth. ""Whose Country Is It?"" rebroadcasts a look at the conflict in Israel between secular people and ultra-orthodox Jews. ""Andy Rooney"" talks about the presidential and vice-presidential tickets."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes"" (1968) {The FBI's Wise Guy/The Battle of Sadr City/All in the Family (#41.3)}"	" ""The FBI's Wise Guy"" examines how an FBI agent managed to infiltrate the Gambino crime family. ""The Battle of Sadr City"" examines last spring's effort to retake Sadr City in Baghdad. ""All in the Family"" profiles a family that has been in the wine business for 600 years. ""Andy Rooney"" talks about high prices."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes"" (1968) {The Narrative/Growing Body Parts/Tyler Perry (#42.43)}"	" ""The Narrative"" rebroadcasts a segment on an ideology that is used to promote anti-Western sentiment. ""Growing Body Parts"" rebroadcasts a discussion with scientists who are developing techniques to regrow parts of the body. ""Tyler Perry"" rebroadcasts a profile of the famous filmmaker. ""Andy Rooney"" talks about excessive desire."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes"" (1968) {The Speed Traders/City of David/Lady Gaga (#43.37)}"	" ""The Speed Traders"" rebroadcasts a segment on the Wall Street practice of computerized high-frequency trading. ""City of David"" rebroadcasts a segment on a controversial archaeological dig in Jerusalem. ""Lady Gaga"" rebroadcasts an interview with the singer."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""60 Minutes"" (1968) {War Profiteers?/A Surplus of Embryos/Wounds of War (#38.21)}"	" ""War Profiteers?"" investigates how some of the $50 billion the U.S. spent on reconstruction work in Iraq has been directed toward profiteers. ""A Surplus of Embryos"" examines the White House's restriction of the use of human embryos in stem cell research. ""Wounds of War"" interviews several wounder veterans from the Iraq War. ""Andy Rooney"" talks about misconceptions about the Iraq War."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""64 Zoo Lane"" (1999) {The Story of Melanie's Birthday Present (#2.22)}"	 It's Melanie the Moose's birthday but she's too busy daydreaming to enjoy it. Her friends give her special presents but they're not the sort of presents she really likes. The friends then realise where they went wrong and set about making Melanie the best present a Moose could want and help her dreams come true.	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
"""6Teen"" (2004) {The Lords of Malltown (#2.19)}"	 Wyatt's music - okay, his whole life has gotten a little dull lately. When Jonesy and Nikki both confirm that he's in a bit of a rut, Wyatt turns to extreme measures: he asks Jude to teach him how to skateboard. Jude teaches Wyatt some def moves and before long, Wyatt is doing ollies off the escalator. Meanwhile, Caitlin meets a totally cute guy at Spin This and he asks her out on a date - a double date. Caitlin agrees to bring Jen along without even checking with her. Because she's a good friend, Jen agrees to go, but her date, Carl, is a big goof who burps in her face and stares at her chest! As if that wasn't bad enough, Jen lets hersel	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
"""77 Sunset Strip"" (1958) {Lovely Alibi (#1.20)}"	 Ed, policeman friend of Stu's gets suspended over bar incident. He asks Stu for help on an investigation of a murder. Ed's girlfriend is somehow involved with the suspect. Girlfriend Alice disappears. Freddy Ortega Trio plays their version of he show theme song.	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
"""7th Heaven"" (1996) {Broke (#5.6)}"	 Irresponsible 'adult' Mary fails to realize how deep she's sinking, but both parents and siblings piece together from various sources she's about to hit rock-bottom and wants to help, but how? Eric can barely keep Annie from intervening directly before they know everything. As even Simon is near-broke and Matt can't keep up pretending he's a lawyer, the kids decide to 'borrow' enough from the twins' full piggy-banks to advance her all due debts. But creditors seeing cash convince her to 'refinance' over longer, which means even more interest.	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	en
"""7th Heaven"" (1996) {It's About George... (#1.19)}"	 A visit from Eric's parents, strict Marines colonel John and his equally military wife, strikes controlled terror among the grandkids, and even Jimmy Moon, who initially discarded Matt's accurate imitation of the usual boyfriend-grilling. They come to present George, the charming, manly boy they adopted from an orphanage. But Eric discovers detective Will Grayson, whose death was faked in a witness protection program, is back in Glenoak after the crime king's death in prison. He claims his son, none other than George, back, as remains his legal right. After a fugue attempt from George, a creative compromise is devised. Matt meanwhile discovers aunt Julie is on the verge of an alcohol relapse.	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	en
"""7th Heaven"" (1996) {Suspicion (#6.12)}"	 While Robbie visits his mother in Florida, Ruthie sneaks in her friend Yasmine Halawi, a Muslim girl who became the target of two bullies on the street. All Camdens feel obliged to help the Halawi family, which lived in Glenoak for years without problems, but every attempt proves hard or even counterproductive. Matt and Simon nearly beat up wrong suspects. Ruthie's private school's board votes against admitting Yasmine.	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	en
"""8 Simple Rules... for Dating My Teenage Daughter"" (2002) {Drummer Boy: Part 2 (#1.18)}"	" Paul and Cate force Rory to read ""To Kill a Mockingbird"" for a book report instead of watching the movie. Bridget pretends to pine over Ben going off to college, while Kerry covers for her. In reality, Bridget is in a great mood and has been calling and messaging Ben at college in Ohio and thinks she's in love with him. Paul had discouraged any further relations with Ben because he was too old for Bridget. Kerry covers for her sister because Bridget keeps throwing a guilt trip on her for kissing Kyle."	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
