issue_number,title,category,is_merged
"17541","CI: fix conditional for PR merge command","Bug","True"
"17540","ENH: Make `np.number` generic with respect to its precision","Enhancement,API,static typing","True"
"17539","MAINT: Bump mypy from 0.782 to 0.790","Maintenance,static typing","True"
"17538","MAINT: Bump pydata-sphinx-theme from 0.4.0 to 0.4.1","Maintenance","True"
"17537","MAINT: Bump hypothesis from 5.37.0 to 5.37.1","Maintenance","True"
"17536","BUG: Fixed crash on self-referential dtypes","Bug","True"
"17535","ENH: add function to get broadcast shape from a given set of shapes.","Enhancement,Python API","True"
"17534","DOC: Fix a typo","Documentation","True"
"17529","MAINT: Cleanup compatibility code for pathlib","Maintenance,Py3K","True"
"17528","Doc: Fix some links and typos","Documentation","True"
"17527","DOC: Fix Bool types in C functions","Documentation","True"
"17526","ENH: Update pavement.py to sign release notes.","Enhancement","False"
"17525","CI: Make merge ref grabbing conditional on the PR being active","Bug","True"
"17523","DOC: Update top links in landing page","Documentation","True"
"17522","ENH: Support for the NVIDIA HPC SDK nvfortran compiler","Enhancement,Backport","True"
"17521","DOC: Add docstrings for some scalar types","Documentation","True"
"17520","DOC: Display real license on license page","Documentation","True"
"17515","DOC: Create templates for ``ma`` documents","Documentation","False"
"17512","MAINT: Define bit generator constants with DEF instead of cdef","Maintenance","False"
"17510","DOC: Fewer blank lines in PR template","Documentation","True"
"17509","DOC: track only master branch within doc/source/dev/index.rst","Documentation,Close?","False"
"17508","ENH: Added the Final feature for all constants","Enhancement,static typing","True"
"17504","DOC: Rename 'Quickstart tutorial'","Documentation","True"
"17503","DOC: Fix empty 'C style guide' page","Documentation","True"
"17502","BUG: remove `sys` from the type stubs","Bug,static typing","True"
"17501","BUG: Fix failures in master related to userdtype registeration","Bug","True"
"17499","Revert "BUG: allow registration of hard-coded structured dtypes"","None","False"
"17498","MAINT: fix incompatible type comparison in numpy.lib.utils.info","Maintenance","True"
"17497","DOC: Use consistent lowercase on docs landing page","Documentation","True"
"17493","DOC: New round of NEP 42 edits","Documentation","True"
"17487","MAINT: Remove duplicate placeholder annotations","Maintenance,static typing","True"
"17485","BLD: circleCI- merge before build, add -n to sphinx","","True"
"17484","ENH: update asv to default to python3.8","Enhancement","False"
"17483","DOC: Fix the references for `random.*`","Documentation","True"
"17481","DOC: Fix the entries for members of structures","Documentation","True"
"17479","ENH: type np.unicode_ as np.str_","Enhancement,static typing","True"
"17474","MAINT: Move the `np.core.numeric` annotations to their own stub file","Maintenance,static typing","True"
"17473","MAINT: py3k: remove os.fspath and os.PathLike backports ","Maintenance","True"
"17472","TST: Fix doctest for full_like","Bug,Documentation","True"
"17468","DOC: add some missing scalar aliases","Documentation","True"
"17465","ENH: Add annotations for bitwise operations","Enhancement,static typing","True"
"17464","DOC: Add some entries for C types and macros","Documentation","True"
"17459","DOC: update code of conduct URL","Documentation","True"
"17457","BUG: Fixes incorrect error message in numpy.ediff1d","Bug","True"
"17456","ENH: add dtype option to numpy.lib.function_base.cov and corrcoef","Enhancement,hacktoberfest-accepted","True"
"17455","MAINT: Bump hypothesis from 5.36.1 to 5.37.0","Maintenance","True"
"17454","MAINT: Bump pytest from 6.0.2 to 6.1.1","Maintenance","False"
"17453","MAINT: Chain exceptions in "_polybase.py"","Maintenance","True"
"17450","MAINT: Update test_requirements.txt.","Testing,Backport","True"
"17448","DOC: Remove CoC pages from Sphinx","Documentation","True"
"17447","NEP: update NEP 42 with discussion of type hinting applications","static typing","True"
"17446","ENH: Warn on unsupported Python 3.10+","Maintenance,Backport","True"
"17445","DOC: Fix the references for macros","Documentation","True"
"17444","ENH: Add `Typing :: Typed` to the PyPi classifier","Enhancement,static typing","True"
"17443","ENH: Warn on unsupported Python 3.10+","Enhancement","True"
"17442","MAINT: fix exception chaining in format.py","Maintenance","True"
"17440","DOC: Cleaner template for PRs","Maintenance,Documentation","True"
"17439","MAINT: fix exception chaining in format.py","Maintenance","False"
"17438","MAINT: Chaining exception in numpy\numpy\ma\mrecords.py","Maintenance","True"
"17436","DOC: Fix "Feature request" spelling in issue templates","Documentation","True"
"17435","DOC: Security warning for issues template","Documentation","True"
"17433","MAINT : Disable 32 bit PyPy CI testing on Windows.","Maintenance,PyPy","True"
"17432","DOC: add references to einops and opt_einsum","Documentation","True"
"17431","DOC: Fix the links for ``Ellipsis``","Documentation","True"
"17430","BUG: Fix memoryleaks related to NEP 37 function overrides","Bug","True"
"17429","MAINT: Move aliases for common scalar unions to `numpy.typing`","Maintenance,static typing","True"
"17427","NEP: nep-0029 typo correction","Maintenance","True"
"17424","DOC: Fix formatting issues in description of .c.src files","Documentation","True"
"17423","DOC: Remove bogus reference to _a_","Documentation","True"
"17422","MAINT: chains nested try-except in numpy/ma/core.py","Maintenance","True"
"17421","BUG: Fix memory leak in array-coercion error paths","Bug","True"
"17419","DEP: Deprecate coercion to subarray dtypes","Deprecation,Python API","True"
"17418","DOC: adding operational form documentation for array ops","Documentation","True"
"17417","MAINT: Uses chain exceptions in numpy/ma/core.py","Maintenance","False"
"17416","Added np_floatingvalues solution numpy","Invalid","False"
"17413","Improved README file","Invalid","False"
"17412","DOC: Fix a parameter type in the `putmask` docs","Maintenance,Documentation","True"
"17411","TST: Mark the typing tests as slow","Testing,static typing","True"
"17410","API: Special case how numpy scalars are coerced to signed integer","Regression,API,Python API","True"
"17409","MAINT: Cleanup remaining PyUString_ConcatAndDel use.","Maintenance,Py3K","True"
"17407","DOC: in PR template, set expectations for PR review timeline","Maintenance,Documentation","True"
"17406","ENH: Replace the module-level `__getattr__` with explicit type annotations #17367","Enhancement,static typing","True"
"17405","MAINT: Replace PyUString_ConcatAndDel in mapping.c.","Maintenance,Py3K","True"
"17404","MAINT: Replace PyUString_ConcatAndDel in nditer_constr.c.","Maintenance,Py3K","True"
"17402","DOC: Add arraysetops to an autosummary","Documentation","True"
"17400","DOC: rm incorrect alias from recarray user article.","Documentation","True"
"17399","BLD: Fixed ARGOUTVIEWM memory deallocation. Closes #17398.","None","True"
"17396","MAINT: Replace append_metastr_to_string function.","Maintenance","True"
"17394","ENH: Implement sliding window","Enhancement,Python API","True"
"17393","BUG: Fix default void, datetime, and timedelta in array coercion","Bug","True"
"17392","DOC: Update info on doc style rules","Documentation","True"
"17391","DOC: Replace "About NumPy" with "Document conventions"","Documentation","True"
"17388","MAINT: Remove old debug print statement.","Maintenance","True"
"17386","MAINT: Bump hypothesis from 5.35.3 to 5.36.1","Maintenance","True"
"17385","MAINT: Bump pytest from 6.0.2 to 6.1.0","Maintenance","False"
"17383","MAINT: Fix docstring for np.matmul","Maintenance,Documentation","True"
"17382","DOC: NumPy restyling for pydata theme","Documentation","True"
"17380","Minor grammatical correction in quickstart doc.","Documentation","True"
"17376","BUG: FIxed an issue where running mypy could raise an AssertionError","Bug,static typing","False"
"17375","DOC: Fix default_rng docstring","None","True"
"17373","BUG: Fixes module data docstrings.","Bug","True"
"17372","ENH: Add annotations for remaining `ndarray` / `generic` non-magic methods","Enhancement,static typing","True"
"17370","NEP: Edit nep-0042 for more clarity","Maintenance","True"
"17369","DOC: distutils: Remove an obsolete paragraph.","Documentation","True"
"17365","DOC: Update install page in Sphinx docs","Documentation","False"
"17364","MAINT: Finish replacing PyInt_Check","Maintenance,Py3K","True"
"17360","MAINT: Accept more strings in datetime_busday.c","None","False"
"17357","MAINT: Bump hypothesis from 5.35.1 to 5.35.3","Maintenance","True"
"17356","ENH: Add Npy__PyLong_AsInt function.","Enhancement","True"
"17354","DOC: clarify residuals return param","Documentation","True"
"17353","DOC: How-to guide for I/O","Documentation","True"
"17352","DOC: Guide to writing how-tos","Documentation","True"
"17350","DEV: Add PR prefix labeler and numpy prefix mapping","Enhancement,Development,Triage-review","True"
"17346","BLD,BUG: Fix a macOS build failure when `NPY_BLAS_ORDER=""`","Bug","True"
"17344","ENH, BLD: Support for the NVIDIA HPC SDK nvfortran compiler","Enhancement","True"
"17340","SIMD: Add partial/non-contig load and store intrinsics for 32/64-bit","Enhancement","True"
"17338","DOC: Fix syntax errors in docstrings for versionchanged, versionadded","None","True"
"17337","NEP: Regenerate table in NEP 29 (add numpy 1.18 and 1.19 to list)","Maintenance","True"
"17336","BUG: Set deprecated fields to null in PyArray_InitArrFuncs","Bug,Backport","True"
"17334","MAINT: Chaining exceptions in npyio.py","None","True"
"17333","MAINT: Fix chain exception in npyio.py","None","False"
"17332","DOC, BLD: update lexer highlighting and make numpydocs a regular dependency.","Documentation","True"
"17331","DOC: Remove the tables of scalar types, and use `..autoclass` to create link targets instead","Documentation","True"
"17330","DOC: improve `issubdtype` and scalar type docs","Documentation","True"
"17329","DOC: Fix incorrect `.. deprecated::` syntax that led to this note being invisible","Documentation","True"
"17326","ENH: Add annotations for five array construction functions","Enhancement,static typing","True"
"17320","BUG: allow registration of hard-coded structured dtypes","Bug,Regression","True"
"17319","BUG: Set deprecated fields to null in PyArray_InitArrFuncs","Bug","True"
"17315","MAINT: Cleanup f2py/cfuncs.py","Maintenance,Py3K","True"
"17313","MAINT: Mark vendored/generated files in .gitattributes","None","True"
"17312","MAINT: Syntax-highlight .src files on github","Maintenance","True"
"17311","CI: Azure experiment","None","False"
"17309","MAINT: Move the `fromnumeric` annotations to their own stub file","Maintenance,static typing","True"
"17308","MAINT: Bump pytest from 6.0.1 to 6.0.2","Maintenance","True"
"17307","MAINT: Bump hypothesis from 5.33.0 to 5.35.1","Maintenance","True"
"17304","BUILD: pin pygments to 2.6.1, 2.7.0 breaks custom NumPyC lexer","Testing","True"
"17302","MAINT: Replace a couple of missed npy_3kcompat macros","Maintenance,Py3K","True"
"17300","MAINT: Replace PyBaseString_Check by PyUnicode_Check","Maintenance,Py3K","True"
"17299","MAINT: (dtype-transfer) make copyswapn and legacy cast wrapper method","None","True"
"17298","BLD: set upper versions for build dependencies","Backport,Release","True"
"17297","BLD: set upper versions for build dependencies","Release","True"
"17296","MAINT: Replace some  ``pyint_*``  macros defined in ``npy_3kcompat``.","Maintenance,Py3K","True"
"17295","BUG,ENH: fix pickling user-scalars by allowing non-format buffer export ","Bug,Enhancement","True"
"17293","MAINT: Replace PyUString_Check by PyUnicode_Check.","Maintenance,Py3K","True"
"17292","MAINT: Replace remaining PyString macros.","Maintenance,Py3K","True"
"17290","MAINT: Cleanup some pystring macros","Maintenance,Py3K","True"
"17289","MAINT: Simplify ufunc pickling","Maintenance","True"
"17288","REL: Update master after 1.19.2 release.","Release","True"
"17285","DEP: Change the financial name access warning to DeprecationWarning","Maintenance,Deprecation","True"
"17284","ENH: Pass optimizations arguments to asv build","Enhancement","True"
"17280","REL: Prepare for the NumPy 1.19.2 release.","Release","True"
"17279","DOC: Fix a typo in shape_base.","Documentation","True"
"17278","MAINT: Merge together index page content into a single file","Maintenance","True"
"17273","ENH: Annotate the arithmetic operations of `ndarray` and `generic`","Enhancement,static typing","True"
"17272","BUG: fix pickling of arrays larger than 2GiB","Bug,Backport","True"
"17271","DOC: Move link to numpy Logo to index instead of contents.","Documentation","False"
"17268","BUG: sysconfig attributes/distutils issue","Bug","True"
"17267","TST: Fix the path to `mypy.ini` in `runtests.py`","Bug,Testing,static typing","True"
"17264","DOC: remove some glosssary terms","Documentation","True"
"17263","DOC: add new glossary terms","Documentation","True"
"17262","BUG: fixing regex to avoid potential ReDoS","None","False"
"17260","MAINT: Bump pydata-sphinx-theme from 0.3.2 to 0.4.0","Maintenance","True"
"17259","MAINT: Bump hypothesis from 5.30.0 to 5.33.0","Maintenance","True"
"17258","SIMD: add fused multiply subtract/add intrinics for all supported platforms","Enhancement","True"
"17257","DOC: work around a bug in the new theme","Documentation","True"
"17256","BUG: fixing regex to avoid DoS vulnerabilities","Close?","False"
"17252","DOC: Added a PR "Reviewer guidelines" document.","Documentation","True"
"17250","DOC: Fix docstring cross-referencing","Documentation","True"
"17247","ENH: Add tool to help speed up Travis CI","Enhancement","True"
"17245","DOC: Fix the link to the quick-start in the old API functions","Documentation,Backport","True"
"17244","DOC: Use SPDX license expressions with correct license","Bug,Backport","True"
"17243","BUG: core: fix ilp64 blas dot/vdot/... for strides > int32 max","Bug,Backport","True"
"17242","MAINT: Run slow CI jobs earlier so builds finishes sooner","Maintenance,Testing","True"
"17241","MAINT: ``__array_interface__`` data address cannot be bytes","Maintenance","True"
"17240","MAINT: added exception chaining in shape_base.py","Maintenance","True"
"17239","DOC: Fix link quick-start in old random API functions","Documentation","True"
"17238","DOC: Use SPDX license expressions with correct license","Bug","True"
"17237","BUG: Avoid using ``np.random`` in typing tests.","Bug,static typing","True"
"17235","MAINT: Remove old PY_VERSION_HEX and sys.version_info code","Maintenance,Py3K","True"
"17233","DEP: Deprecated ndindex.ndincr","Deprecation,Python API","True"
"17229","Fft","None","False"
"17227","DOC: Added templates for different types of issues.","Maintenance,Documentation","True"
"17225","BUG: Fix dimension discovery of within array ragged cases","Bug","True"
"17223","MAINT: use sysconfig not distutils.sysconfig where possible","Maintenance","True"
"17222","MAINT, DOC:  move informational files from numpy.doc.*.py to their *.rst counterparts","Documentation","True"
"17220","BUG, DOC: comment out metadata added via javascript","Bug,Documentation","True"
"17219","BLD: enabled negation of library choices in NPY_*_ORDER","Enhancement","True"
"17215","DOC: Use official MATLAB spelling in numpy-for-matlab-users.rst","None","True"
"17214","MAINT: Fix various issues with the `np.generic` annotations","Maintenance,static typing","True"
"17210","DOC: Canonical_urls","None","True"
"17209","WIP: CI: try building with setuptools 50.0","Third-party binaries","False"
"17208","ENH: make the base of views warn when writing to them","None","False"
"17205","add close after mmap","None","False"
"17204","DOC: Fixed headings for tutorials so they appear at new theme sidebar.","Documentation","True"
"17201","MAINT: Make the `NPY_CPU_DISPATCH_CALL` macros expressions not statements","None","True"
"17199","DOC: Fix the documented signatures of four `ufunc` methods","Maintenance,Documentation","True"
"17197","MAINT: Improve error handling in npy_cpu_init","Maintenance","True"
"17195","ENH: Make the window functions exactly symmetric","Enhancement","True"
"17193","MAINT: Remove some callers of functions in numpy.compat","Maintenance,Py3K","True"
"17191","MAINT: Bump hypothesis from 5.26.0 to 5.30.0","Maintenance","True"
"17188","MAINT: Add placeholder stubs for `ndarray` and `generic`","Maintenance,static typing","True"
"17186","MAINT: Use utf8 strings in more of datetime","Maintenance,Py3K","True"
"17182","DOC: Document `dtype.metadata`","Documentation","True"
"17181","DOC: Correct error in description of ndarray.base","Documentation","True"
"17180","ENH: Added missing methods to `np.flatiter`","Enhancement,static typing","True"
"17178","MAINT: dtype.__setstate__: Remove a repeated error check","Maintenance","False"
"17176","MAINT/ENH: datetime: remove calls to PyUnicode_AsASCIIString, allow μs as an alias for us","Enhancement,Maintenance","True"
"17172","ENH: Make `np.complexfloating` generic w.r.t. `np.floating`","Enhancement,static typing","True"
"17171","BUG: revert trim_zeros changes from gh-16911","None","True"
"17168","TST: Add tests mapping out the rules for metadata in promotion","Testing","True"
"17167","BLD: Merge the npysort library into multiarray","Maintenance","True"
"17164","MAINT: Remove NPY_COPY_PYOBJECT_PTR","Maintenance","True"
"17163","MAINT: Remove redundant headers","Maintenance","True"
"17161","BUG: Remove Void special case for "safe casting"","None","True"
"17160","Clean up some more bytes vs unicode handling","Bug,Maintenance,Py3K","True"
"17159","DOC: Update numpy4matlab","Documentation","True"
"17154","DOC: Remove references to PyCObject","Documentation,Py3K","True"
"17152","MAINT: Clean up some Npy_ vs Py_ macro usage","Maintenance,Py3K","True"
"17151","BUG: Fix incorrect cython definition of npy_cfloat","Bug","True"
"17150","ENH: Add support for the abstract scalars to cython code","Enhancement","True"
"17149","MAINT: Replace PyInt macros with their PyLong replacement","Maintenance,Py3K","True"
"17147","MAINT: Bump hypothesis from 5.26.0 to 5.28.0","Maintenance","False"
"17146","MAINT: ``Replace PyUString_*`` by ``PyUnicode_*`` equivalents.","Maintenance,Py3K","True"
"17145","MAINT, BUG: Replace uses of PyString_AsString.","Bug,Maintenance,Py3K","True"
"17144","ENH: Add annotations to 3 functions in `np.core.function_base`","Enhancement,static typing","True"
"17143","MAINT: Change handling of the expired financial functions.","Maintenance","True"
"17142","DOC: NEP-42: Fix a few typos.","Documentation","True"
"17141","MAINT: Make arrayprint str and repr the ndarray defaults.","Maintenance","True"
"17137","API,MAINT: Rewrite promotion using common DType and common instance","Enhancement,API","True"
"17133","MAINT: Chain ValueError in ma.timer_comparison","Maintenance","True"
"17132","MAINT: Chain some exceptions in arraysetops.","Maintenance","True"
"17131","BUG,TST: Fixed an issue in the `trim_zeros` deprecation tests","Bug,Testing","False"
"17129","BLD: Check for reduce intrinsics and AVX512BW mask operations","Enhancement","True"
"17127","MAINT: Remove duplicated symbols from link step","Maintenance","True"
"17125","BUG: Remove non-threadsafe sigint handling from fft calculation","Bug,Backport","True"
"17123","ENH: allow running mypy through runtests.py","static typing","True"
"17121","BUG: core: fix ilp64 blas dot/vdot/... for strides > int32 max","Bug","True"
"17119","DOC: make spacing consistent in NEP 41 bullet points","None","True"
"17117","ENH: Make numpy scalars subtypes of their builtin counterpart","Enhancement,Needs decision,static typing","False"
"17116","API: Remove `np.ctypeslib.ctypes_load_library`","Deprecation,Python API","True"
"17115","DOC: Fix spacing in vectorize doc","Documentation","True"
"17112","BUG: Handle errors from the PyCapsule API","Bug,Maintenance,Py3K","True"
"17109","MAINT: Split einsum into multiple files","Maintenance","True"
"17107","ENH: Add runtime CPU dispatching support for einsum","None","False"
"17104","ENH: Add placeholder stubs for all sub-modules","Enhancement,static typing","True"
"17096","ENH: Add aliases for common scalar unions","Enhancement,static typing","False"
"17093","NEP: Adjust NEP-35 to make it more user-accessible","","True"
"17092","MAINT: Bump hypothesis from 5.23.12 to 5.26.0","Maintenance","True"
"17091","MAINT: Bump pytest-cov from 2.10.0 to 2.10.1","Maintenance","True"
"17089","Create Transformations2D.py","Enhancement","False"
"17078","DOC: Fixes duplication of toctree content (Closes #17077)","Documentation","True"
"17074","DOC: use the pydata_sphinx_theme","Documentation","True"
"17068","MAINT, BUG: Remove uses of PyString_FromString.","Bug,Maintenance","True"
"17067","DEP: lib: Remove the deprecated financial functions.","Deprecation","True"
"17065","MAINT: Convert lambda func to list comprehension","None","False"
"17064","MAINT: Simplify check for key in dictionary","None","False"
"17063","MAINT: Remove obsolete conversion to set","Maintenance","True"
"17062","API, BUG: Raise error on complex input to i0","None","True"
"17061","MAINT: Change os.mkdir to os.makedirs","None","False"
"17059","BUG: fix pickling of arrays larger than 2GiB","Bug","True"
"17058","MAINT: Revert boolean casting back to elementwise comparisons in `trim_zeros`","Maintenance","True"
"17055","MAINT: Replace lambda function by list comprehension","None","True"
"17054","Change mode of open in func write_file()","None","False"
"17053","BUG: fix typo in polydiv that prevented promotion to poly1d","Bug","True"
"17052","MAINT: Delete obsolete conversion to list","None","True"
"17051","MAINT: Change open() to with open()","None","True"
"17050","MAINT: Remove _EXTRAFLAGS variable","None","True"
"17048","STY: core._internal style fixups","Maintenance","True"
"17047","ENH: speed up core._internal._commastring","None","False"
"17041","MAINT: Bump hypothesis from 5.23.9 to 5.23.12","Maintenance","True"
"17040","MAINT: Update setuptools requirement from <49.2.0 to <49.4.0","Maintenance","False"
"17039","DOC: Use a less ambiguous example for array_split","Documentation","True"
"17036","DOC: Clarify that `np.char` comparison functions always return ndarrays","Maintenance,Documentation","True"
"17033","BUG: fix a compile and a test warning","Bug,Testing","True"
"17032","ENH: Update linalg.py to include two new autoregularizing methods","Enhancement,Needs decision,Needs Release Note.,Close?,Needs tests","False"
"17031","ENH Update linalg.py to include new autoregularized solvers named auto***","None","False"
"17029","MAINT: Add error return to all casting functionality and NpyIter","Enhancement,Maintenance,priority: high","True"
"17028","DOC: Disclaimer for FFT library","Documentation","True"
"17024","DOC: Makeover for Sphinx pages","Documentation","False"
"17022","DOC: Fix non-matching pronoun.","Documentation","True"
